,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,DLN,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,censusTract,block,epostcard,SOURCE,KeyID,VERIFY
549,237240585,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,1559 NY LOC AMER MUSEUM NTL HISTRY,79TH ST AND CENTRAL PARK W,NEW YORK,NY,10024-0000,10024.0,AFSCME NEW YORK LOCAL 1559,,5,0.0,195708.0,5.0,6.0,263.0,264.0,279.0,9.0,3.0,2.0,1.0,20.0,1381.0,201306,2013,2012,2012,5.0,0,49863,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,49863,49863,49863,,,,,50140,-277,0.0,9128.0,8851,,,,,,0.0,0,,,9128.0,8851,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,rtf12co_excl,201206.0,2012.0,92.0,0.0,52294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52294.0,50766.0,1528.0,,,,,92,237240585_201306_990EO,IN,,237240585201306,2372405852013,,A50,A,36061.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.78304,A,712110.0,,,,,0,rtf13_990EZ_VER,121037,0
3187,112511065,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,,C/O WILLIAM ROTHBERG 16 COURT ST,BROOKLYN,NY,11241-0000,11241.0,WILLIAM ROTHBERG,,6,0.0,197912.0,2.0,6.0,200.0,0.0,0.0,3.0,1.0,2.0,1.0,20.0,0.0,201206,2012,2011,2011,6.0,0,175540,4111,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,179651,179651,179651,,,,,156901,22750,0.0,1.0,449663,,,,,,0.0,5101,,,0.0,444562,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201106.0,2011.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,112511065_201206_990EO,IN,,112511065201206,1125110652012,,A82,A,36047.0,5602.0,5600.0,A82,A,O,O,AR,A,A,1,AR,AR,AR,0.98703,B,,,,,,0,rtf13_990EZ_VER,158222,0
3267,131101367,NEW YORK SOCIETY OF ARCHITECTS,,132 NASSAU ST RM 811,NEW YORK,NY,10038-0000,10038.0,,W03,6,0.0,194208.0,1.0,11.0,200.0,205.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201211,2012,2011,2011,6.0,0,114411,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,13900,128311,128311,128311,,,,,134870,-6559,0.0,18999.0,14229,,,,,,666.0,2455,,,18333.0,11774,Y,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201111.0,2011.0,92.0,0.0,118823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.0,128273.0,140648.0,-12375.0,,,,,92,131101367_201211_990EO,IN,,131101367201211,1311013672012,,A03,A,36061.0,5602.0,5600.0,A03,A,O,O,AR,A,A,1,AR,AR,AR,0.96281,B,813920.0,,,,,0,rtf13_990EZ_VER,121870,0
3269,131182895,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,,255 E 36TH ST,NEW YORK,NY,10016-0000,10016.0,,S41,6,0.0,201101.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201206,2012,2011,2011,6.0,400,32503,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30226,63131,63131,63131,0.0,0.0,0.0,0.0,52825,10306,,6586.0,14280,0.0,0.0,0.0,0.0,0.0,2612.0,0,-5348.0,4958.0,3974.0,14280,N,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201106.0,2011.0,93.0,0.0,46078.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10100.0,56192.0,61540.0,-5348.0,0.0,0.0,0.0,0.0,93,131182895_201206_990O,IN,,131182895201206,1311828952012,,A40,A,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.01491,A,710000.0,,,,,0,rtf13_990_VER,12665,0
3290,131951979,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,,1697 BROADWAY FL 10 # 1001,NEW YORK,NY,10019-5944,10019.0,,A32Z,6,0.0,197610.0,5.0,8.0,205.0,0.0,0.0,6.0,2.0,2.0,1.0,10.0,3005.0,201208,2012,2011,2011,6.0,0,5174054,11526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17960,5203540,5203540,5203540,443596.0,780740.0,86018.0,0.0,4063115,1140425,,4837852.0,6074160,0.0,0.0,0.0,0.0,0.0,709774.0,805657,0.0,0.0,4128078.0,5268503,N,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201108.0,2011.0,93.0,0.0,3913119.0,0.0,9203.0,0.0,0.0,0.0,0.0,0.0,15798.0,3938120.0,3193411.0,744709.0,396636.0,574154.0,63202.0,0.0,93,131951979_201208_990O,IN,,131951979201208,1319519792012,,A0332,A,36061.0,5602.0,5600.0,A033,A,O,O,AR,A,A,1,AR,AR,AR,0.12544,A,813920.0,,,,,0,rtf13_990_VER,67375,0
3320,133358453,U S S INTREPID ASSOCIATION INC,,26A DOGWOOD DR,STATEN ISLAND,NY,10312-1608,10312.0,HARRIS SEORTI,,19,0.0,199506.0,1.0,6.0,907.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,19.0,38039,27520,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,5167,9089,-3922,0,61637,61637,70726,,,,,64216,-2579,0.0,63207.0,60628,,,,,,0.0,0,,,63207.0,60628,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201206.0,2012.0,92.0,40806.0,28320.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,0.0,71531.0,46325.0,25206.0,,,,,92,133358453_201306_990EO,IN,,133358453201306,1333584532013,,A12,A,36085.0,5602.0,5600.0,A12,A,O,S,ZB,A,A,1,AR,AR,AR,0.34829,A,813219.0,,,,,0,rtf13_990EZ_VER,123167,0
3350,133851772,AMICI DI NARO CLUB S CALOGERO INC,,15711 22ND AVE,WHITESTONE,NY,11357-3910,11357.0,S IACONA,A23,4,0.0,201201.0,1.0,12.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,20.0,0.0,201112,2011,2011,2011,,5839,0,0,,,,,0.0,,,0.0,,,0.0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,0,0,0,0,0,0,5839,5839,5839,0.0,0.0,0.0,0.0,8248,-2409,,,21073,,0.0,,0.0,,,0,,21073.0,,21073,N,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,93,133851772_201112_990O,IN,,133851772201112,1338517722011,,A23,A,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.42346000000000006,B,710000.0,,,,,0,core2011co,0,
3357,133893891,SIXTH AVENUE ML COMPANY INC,,270 PARK AVE,NEW YORK,NY,10017-2014,10017.0,J P MORGAN INVESTMENT MANAGEMENT,,2,0.0,199611.0,1.0,12.0,912.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201112,2011,2011,2011,,0,0,0,,,,,0.0,,,0.0,,,0.0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1000.0,1000,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,1000.0,1000,N,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,rtf10co,201012.0,2010.0,93.0,0.0,13702940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13702940.0,13702940.0,0.0,0.0,0.0,0.0,0.0,93,133893891_201112_990O,IN,,133893891201112,1338938912011,,A1960,A,36061.0,5602.0,5600.0,A196,A,O,O,AR,A,A,1,AR,AR,AR,0.43546999999999997,C,813219.0,,,,,0,core2011co,0,
3385,135156110,INDIA HOUSE INC,,1 HANOVER SQUARE,NEW YORK,NY,10004-2601,10004.0,,,7,0.0,193807.0,1.0,12.0,916.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201212,2012,2012,2012,7.0,0,247825,0,0.0,0.0,24861.0,0.0,24861.0,0.0,0.0,0.0,24861.0,0.0,24861.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8355,0,8355,3702,284743,284743,284743,0.0,126191.0,12355.0,0.0,1076925,-792182,,2967221.0,2350698,0.0,0.0,0.0,0.0,0.0,359294.0,559814,0.0,0.0,2607927.0,1790884,Y,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201112.0,2011.0,93.0,0.0,272491.0,0.0,3164.0,38732.0,0.0,1995135.0,0.0,8335.0,2969.0,2320826.0,732713.0,1588113.0,0.0,98089.0,9796.0,0.0,93,135156110_201212_990O,IN,,135156110201212,1351561102012,,A23,A,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.50238,C,710000.0,,,,,0,rtf13_990_VER,99110,0
4169,223075802,7 X 24 EXCHANGE INC,,322 EIGTH AVE STE 501,NEW YORK,NY,10001-0000,10001.0,,,6,0.0,201102.0,1.0,12.0,123.0,200.0,0.0,6.0,2.0,2.0,1.0,10.0,5843.0,201212,2012,2012,2012,6.0,0,3022610,4194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,193772,3220576,3220576,3220576,200000.0,0.0,0.0,0.0,3142680,77896,,2001382.0,2191162,0.0,0.0,0.0,0.0,0.0,126318.0,238202,0.0,0.0,1875064.0,1952960,Y,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201112.0,2011.0,93.0,0.0,2890251.0,0.0,4980.0,0.0,0.0,0.0,0.0,0.0,182177.0,3077408.0,2933960.0,143448.0,185700.0,0.0,0.0,0.0,93,223075802_201212_990O,IN,,223075802201212,2230758022012,,A70,A,36061.0,5602.0,5600.0,A70,A,O,O,AR,A,A,1,AR,AR,AR,0.99518,C,710000.0,,,,,0,rtf13_990_VER,53634,0
