,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,DLN,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,censusTract,block,epostcard,SOURCE,KeyID,VERIFY,NetLandEstimate,NetLandCode,NetLandYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,GovGtEstimate,GovGtCode,GovGtYr,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,NumEmpEstimate,NumEmpCode,NumEmpYr,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,PayAfflEstimate,PayAfflCode,PayAfflYr
524,61313662,THE ELIZABETH FOUNDATION FOR THE ARTS,,PO BOX 2670,NEW YORK,NY,10108-2670,10108.0,JANE STEPHENSON,A900,3,15.0,199211.0,1.0,12.0,91.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,166228,1026019,2373,0.0,0.0,25647.0,0.0,25647.0,113654.0,0.0,113654.0,-88007.0,0.0,-88007.0,92017.0,0,92017.0,-9756,0.0,-9756,-9756.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,26565,1123422,1123422,1329093,128090.0,419114.0,58057.0,0.0,1537163,-413741,,8613326.0,8297376,0.0,0.0,2969896.0,2871564.0,0.0,3192197.0,3279010,5421129.0,0.0,5421129.0,5018366,Y,0,0,0.0,0.0,7,701319,0,0,245393,0,0,0,0,0,0,0,1,rtf2013_990,201112.0,2011.0,93.0,185315.0,959968.0,0.0,10323.0,-135157.0,12613.0,0.0,0.0,0.0,0.0,1033062.0,1618019.0,-584957.0,0.0,312721.0,40542.0,0.0,93,061313662_201212_990,IN,,61313662201212,613136622012,,A90,A,36061.0,5602.0,5600.0,A90,A,PC,O,AR,A,A,1,AR,AR,AR,0.74724,A,813219.0,,,,,0,rtf13_990_VER,103836,0.0,7940382,f1,2012.0,0,f1,2012.0,244324,f1,2012,54089,f1,2012,20959,f1,2012,45839,s4,2009,120389,s4,2009,0,s4,2009,16,f1,2012,80838,f1,2012,258360,f1,2012,110496,f1,2012,0,f1,2012,221994,f1,2012,36299,f1,2012,22000,f1,2012,36299,f1,2012,64790,f1,2012,37272,f1,2012,1000,f1,2012,0,f1,2012,98853,f1,2012,0,f1,2012
625,112688282,JACKSON HEIGHTS ART CLUB INC,,PO BOX 720335,JACKSON HTS,NY,11372-0335,11372.0,,,3,16.0,198503.0,1.0,5.0,91.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201305,2013,2012,2012,3.0,18865,30830,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,467,50162,50162,50162,,,,,34743,15419,-7112.0,12044.0,20351,,,,,,0.0,0,,,12044.0,20351,N,0,0,,,9,0,0,0,0,0,86402,137005,0,0,0,223407,1,rtf12pc_excl,201205.0,2012.0,92.0,5300.0,34627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39927.0,37025.0,2902.0,,,,,92,112688282_201305_990EZ,IN,,112688282201305,1126882822013,,A25,A,36081.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.8081699999999999,A,611610.0,,,,,0,rtf13_990EZ_VER,124178,0.0,10514,ar,0.0,0,ar,0.0,0,ar,0,713,ar,0,3055,ar,0,0,ez,2013,18865,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,34743,ez,2013,0,ez,2013
629,112726558,DANCEWAVE INC,,45 4TH AVE,BROOKLYN,NY,11217-1903,11217.0,,,3,16.0,198807.0,1.0,6.0,90.0,119.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,316210,497586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8158,821954,821954,821954,53124.0,131018.0,20791.0,0.0,716339,105615,,506240.0,548064,0.0,0.0,0.0,0.0,0.0,93878.0,30087,412362.0,0.0,412362.0,517977,N,0,0,0.0,0.0,9,0,0,0,0,0,1284069,1830465,0,0,59428,3173962,1,rtf2013_990,201206.0,2012.0,93.0,340777.0,260621.0,0.0,0.0,20112.0,0.0,0.0,-12215.0,0.0,0.0,609295.0,563175.0,46120.0,51732.0,131053.0,19627.0,0.0,93,112726558_201306_990,IN,,112726558201306,1127265582013,,A62,A,36047.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.56995,B,711120.0,,,,,0,rtf13_990_VER,285312,0.0,0,f1,2013.0,0,f1,2013.0,0,f1,2013,0,f1,2013,225303,f1,2013,74368,j4,2009,241842,j4,2009,0,j4,2009,8,f1,2013,67774,f1,2013,161394,f1,2013,0,f1,2013,0,f1,2013,0,f1,2013,30440,f1,2013,0,f1,2013,30440,f1,2013,16786,f1,2013,38336,f1,2013,0,f1,2013,0,f1,2013,196676,f1,2013,0,f1,2013
675,113284094,THEATRE THREE COLLABORATIVE INC,GEORGE BARTENIEFF,289 WASHINGTON AVENUE NO GROUND,BROOKLYN,NY,11205-4202,11205.0,,A650,3,15.0,199511.0,1.0,6.0,994.0,88.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,48850,2551,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,51401,51401,51401,,,,,52068,-667,0.0,8752.0,8385,,,,,,2500.0,2800,,,6252.0,5585,N,0,0,,,7,148862,0,0,0,49842,0,0,0,0,0,0,1,rtf12pc_excl,201206.0,2012.0,92.0,46767.0,6373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,53509.0,52159.0,1350.0,,,,,92,113284094_201306_990EZ,IN,,113284094201306,1132840942013,,A65,A,36047.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.23749,A,711110.0,,,,,0,rtf13_990EZ_VER,202479,0.0,3364,ar,0.0,0,ar,0.0,0,ar,0,1129,ar,0,1074,ar,0,0,ez,2013,48850,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,52068,ez,2013,0,ez,2013
680,113338875,THE RAJKUMARI CULTURAL CENTER INC,,8384 116TH ST APT 2K,RICHMOND HILL,NY,11418-3470,11418.0,,A230,3,15.0,200108.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,43577,6600,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,50177,50177,50177,,,,,99502,-49325,27217.0,65926.0,17332,,,,,,0.0,25900,,,65926.0,-8568,N,0,0,,,7,232234,0,0,0,0,0,0,0,0,0,0,1,rtf12pc_excl,201112.0,2011.0,92.0,28416.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,37414.0,75761.0,-38347.0,,,,,92,113338875_201212_990EZ,IN,,113338875201212,1133388752012,,A23,A,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.11499000000000001,A,710000.0,,,,,0,rtf13_990EZ_VER,13722,0.0,8954,ar,0.0,0,ar,0.0,0,ar,0,607,ar,0,2602,ar,0,0,ez,2012,43577,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,99502,ez,2012,0,ez,2012
681,113348710,WOVEN SPACES INC,,853 MANHATTAN AVENUE,BROOKLYN,NY,11222-5971,11222.0,ROSA VALADO,A51,3,15.0,199702.0,1.0,6.0,995.0,91.0,90.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,29952,23223,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,53175,53175,53175,,,,,51428,1747,0.0,473.0,848,,,,,,15372.0,14000,,,-14899.0,-13152,N,0,0,,,9,0,0,0,0,0,77454,0,148225,0,0,225679,1,rtf12pc_excl,201206.0,2012.0,92.0,30884.0,24267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55151.0,59501.0,-4350.0,,,,,92,113348710_201306_990EZ,IN,,113348710201306,1133487102013,,A40,A,36047.0,5602.0,5600.0,A40,A,PC,O,AR,A,A,1,AR,AR,AR,0.30973,A,710000.0,,,,,0,rtf13_990EZ_VER,218267,0.0,326,ag,0.0,12,ag,0.0,1,ag,0,124,ag,0,71,ag,0,0,c4,2006,29952,c4,2006,0,c4,2006,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,51428,ez,2013,0,ez,2013
698,113571476,BY ALL MEANS SAVE SOME CORPORATION,,1068 DEAN ST,BROOKLYN,NY,11216-2908,11216.0,BEN HARNEY,A25,3,16.0,200107.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201306,2013,2012,2012,3.0,1275,50220,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,51495,51495,51495,,,,,55656,-4161,0.0,4775.0,614,,,,,,0.0,0,,,4775.0,614,N,0,0,,,9,0,0,0,0,0,1275,283996,0,0,0,285271,1,rtf12pc_excl,201206.0,2012.0,92.0,0.0,31727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31727.0,48758.0,-17031.0,,,,,92,113571476_201306_990EZ,IN,,113571476201306,1135714762013,,A25,A,36047.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.9673700000000001,B,611610.0,,,,,0,rtf13_990EZ_VER,22748,0.0,317,ar,0.0,0,ar,0.0,0,ar,0,21,ar,0,92,ar,0,0,ez,2013,1275,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,55656,ez,2013,0,ez,2013
704,113640720,NERIYE AMINOV FUND INC,,96-09 66 AVE,REGO PARK,NY,11374-4159,11374.0,YAKOV AMINOV,A61,3,15.0,200301.0,1.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201311,2013,2012,2012,3.0,23462,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,23462,23462,23462,,,,,16246,7216,0.0,39850.0,47066,,,,,,0.0,0,,,39850.0,47066,N,0,0,,,9,0,0,0,0,0,23876,0,0,0,0,23876,1,rtf12pc_excl,201211.0,2012.0,92.0,4401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4401.0,24346.0,-19945.0,,,,,92,113640720_201311_990EZ,IN,,113640720201311,1136407202013,,A61,A,36081.0,5602.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.43926000000000004,B,711100.0,,,,,0,rtf13_990EZ_VER,3189,0.0,18884,ar,0.0,0,ar,0.0,0,ar,0,6340,ar,0,6030,ar,0,0,ez,2013,23462,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,16246,ez,2013,0,ez,2013
716,113757378,HUMAN FUTURE DANCE CORPS INC,,140-42 SECOND AVENUE,NEW YORK,NY,10003-8364,10003.0,DEANNA DORVILLIER,A40,3,15.0,201004.0,1.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,25900,12353,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,3026,41279,41279,41279,,,,,37268,4011,0.0,61288.0,67405,,,,,,4465.0,6571,,,56823.0,60834,N,0,0,,,9,0,0,0,0,0,178440,111355,0,0,0,292821,2,rtf12pc_excl,201208.0,2012.0,92.0,80788.0,41503.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,122316.0,85618.0,36698.0,,,,,92,113757378_201306_990EZ,IN,,113757378201306,1137573782013,,A62,A,36061.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.9249799999999999,A,711120.0,,,,,0,rtf13_990EZ_VER,130309,0.0,27044,ar,0.0,0,ar,0.0,0,ar,0,9079,ar,0,8635,ar,0,0,ez,2013,25900,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,37268,ez,2013,0,ez,2013
730,131136460,ORATORIO SOCIETY OF NEW YORK,,1440 BROADWAY RM 23,NEW YORK,NY,10018-2326,10018.0,,,3,16.0,192509.0,1.0,6.0,119.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,293781,321699,90806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54813.0,0,54813.0,2323,0.0,2323,2323.0,51276.0,18560.0,32716.0,0.0,0.0,0.0,51276,18560,32716,0,0,0,16712,758037,758037,831410,0.0,0.0,0.0,0.0,701918,56119,,624464.0,680583,0.0,0.0,0.0,0.0,0.0,37244.0,0,587220.0,0.0,587220.0,680583,N,0,0,0.0,0.0,9,0,0,0,0,0,1087921,1270264,0,0,61641,2471989,1,rtf2013_990,201206.0,2012.0,93.0,190712.0,253376.0,0.0,-28383.0,0.0,-1396.0,15213.0,41288.0,0.0,15496.0,486306.0,436137.0,50169.0,0.0,0.0,0.0,0.0,93,131136460_201306_990,IN,,131136460201306,1311364602013,,A99,A,36061.0,5602.0,5600.0,A99,A,PC,O,AR,A,A,1,AR,AR,AR,0.6231800000000001,B,710000.0,,,,,0,rtf13_990_VER,239134,0.0,0,f1,2013.0,0,f1,2013.0,4042,f1,2013,572721,f1,2013,103820,f1,2013,5461,c4,2006,288320,c4,2006,0,c4,2006,0,a,2013,3500,f1,2013,3393,f1,2013,0,f1,2013,0,f1,2013,0,f1,2013,97105,f1,2013,0,f1,2013,97105,f1,2013,0,f1,2013,39400,f1,2013,0,f1,2013,0,f1,2013,558520,f1,2013,0,f1,2013
