,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_BOY,ASS_EOY,BLOCK,BOND_BOY,BOND_EOY,CENSUSTRACT,CITY,CLASSCD,COMPENS,COMPENSP,CONT,CONTACT,CONTP,DEDUCTCD,DIREXP,EOSTATUS,EPOSTCARD,EXPS,EXPSP,FILENAME,FIPS,FISYR,FISYRP,FNDNCD,FRCD,FUNDBAL,FUNDFEES,FUNDFEESP,FUNDINC,FUNDINCP,GFTGRNTSRCVD170,GOODS,GRPROF,GRPROFP,GRREC,GRRECMEM,GRRECOTH,GRRECPUB,GRSINC170,GRSINCFNDRSNG,GRSINCGAMING,GRSRCPTSADMISSN509,GRSRCPTSRELATED170,GRSRNTSPRSNL,GRSRNTSREAL,INITFEES,INPRIOR,INPRIORSRC,INVENTG,INVINC,INVINCP,LATITUDE,LESSDIRFNDRSNG,LESSDIRGAMING,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LIAB_BOY,LIAB_EOY,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MRTG_BOY,MRTG_EOY,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NETA_BOY,NETGNLS,NETINC,NETINCFNDRSNG,NETINCGAMING,NETINCP,NETRENT,NETRENTP,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OTHCHGS,OTHINC,OTHINCP,OTHSAL,OTHSALP,OUTNCCS,OUTREAS,PAYTAX,PAYTAXP,PMSA,PROGREV,PROGREVP,Q78A,RANDNUM,REASON,RENTEXP,RENTINC,RETEARN,RETE_BOY,RNTLEXPNSPRSNL,RNTLEXPNSREAL,RNTLINCPRSNL,RNTLINCREAL,ROYALTSINC,RULEDATE,SALEOTHE,SALEOTHG,SALEOTHN,SALEOTHNP,SALESECN,SALESECNP,SALESEXP,SECUR,SEC_NAME,SOIYR,SOURCE,SPEVTG,SRVCSVAL170,SRVCSVAL509,STATE,STYEAR,SUBCD,SUBSECCD,SUBTOTSUPPINC509,TAXPER,TAXPERP,TOTGFTGRNTRCVD509,TOTREV,TOTREV2,TOTREVP,TOTSUPP509,TXEXMPTBNDSPROCEEDS,TXREVNUELEVIED170,TXREVNUELEVIED509,UNSECUREDNOTESEND,VALIDATION_STATE,ZIP,ZIP5
2866,42565109,12,200.0,0.0,0.0,152 MADISON AVE RM 1702,3.0,385.0,1721,360610074002002.0,0.0,0.0,36061007400.0,NEW YORK,20,0.0,0.0,58793,,0.0,2.0,0,1.0,0,256409,182225.0,042565109_201412_990O,36061.0,2014,2013.0,0,10.0,1721,0.0,0.0,0.0,0.0,0.0,0,0,0.0,257745,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,1,rtf13_990EZ_VER,0,5,8.0,40.7465,0.0,0.0,O,O,AR,A,0.0,0,-73.9839,A,,0.0,0.0,5602.0,710000.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,42565109201412,425651092014,385.0,0,1336,0,0.0,217.0,0.0,0.0,A,A23,,A23,A,,BEST,AR,AR,AR,1.0,,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,198947,182434.0,N,0.4954202139307471,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,197704,0,0,0,0.0,0.0,0.0,0.0,0.0,,20140.0,15eofinextract990.dat.dat,0,0.0,0.0,NY,20140,6,6.0,0.0,201412,201312.0,0.0,257745,257745,182442.0,0.0,0.0,0.0,0.0,0.0,0.0,10016-5464,10016
3457,43191447,12,263.0,264.0,279.0,322 W 48TH ST 3RD FL,3.0,21084.0,22792,360610127002000.0,0.0,0.0,36061012700.0,NEW YORK,30,0.0,0.0,0,SCOTT BERWICK,0.0,2.0,0,1.0,0,121635,54325.0,043191447_201412_990EZ,36061.0,2014,2013.0,0,10.0,20358,0.0,0.0,0.0,0.0,,0,0,0.0,129163,,,0.0,0.0,0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0,3,11.0,40.7612,0.0,0.0,O,O,AR,A,8254.0,2434,-73.9875,A,,0.0,0.0,5602.0,711130.0,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,43191447201412,431914472014,12830.0,0,7528,0,0.0,-1781.0,0.0,0.0,A,A68,,A68,A,J40,BEST,AR,AR,AR,5.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,129160,52533.0,N,0.9499500030804228,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,201403,0,0,0,0.0,0.0,0.0,0.0,,,20140.0,15eofinextractEZ.dat,0,0.0,0.0,NY,20140,5,5.0,0.0,201412,201312.0,0.0,129163,129163,52544.0,0.0,0.0,0.0,0.0,0.0,0.0,10036-1308,10036
3813,43724612,12,907.0,908.0,0.0,209 CROSS BAY BLVD,9.0,236162.0,228036,,0.0,0.0,,BROAD CHANNEL,10,0.0,0.0,18696,PETER ZAUN,100144.0,1.0,0,1.0,0,45847,30635.0,043724612_201412_990EZ,36081.0,2014,2013.0,0,20.0,228036,0.0,0.0,0.0,0.0,,0,0,0.0,37721,,,0.0,0.0,0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0,0,0.0,40.5857,0.0,0.0,O,O,AR,A,0.0,0,-73.8172,A,,0.0,0.0,5602.0,513120.0,AMERICAN LEGION 1404 BROAD CHANNEL INC,43724612201412,437246122014,236162.0,0,-8126,0,0.0,94928.0,0.0,0.0,A,A32,,A32,A,,BEST,AR,AR,AR,5.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,19025,25419.0,N,0.3413840398713379,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,194603,0,0,0,0.0,0.0,0.0,0.0,,1404 BROAD CHANNEL INC,20140.0,15eofinextractEZ.dat,0,0.0,0.0,NY,20140,19,19.0,0.0,201412,201312.0,0.0,37721,37721,125563.0,0.0,0.0,0.0,0.0,0.0,0.0,11693-1048,11693
5993,61597372,12,,,,PO BOX 5005,,80230781.0,81416998,360610161001001.0,0.0,0.0,36061016100.0,NEW YORK,10,0.0,0.0,0,,0.0,,0,,0,2455967,2390243.0,061597372_201312_990O,36061.0,2013,2012.0,0,,81212571,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8412664,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,1,rtf13_990_VER,0,203,232.0,40.7808,0.0,0.0,O,O,AR,A,168072.0,204427,-73.9772,A,,0.0,0.0,5602.0,711100.0,LAKEMONT INDUSTRIAL HOLDING COMPANY,61597372201312,615973722013,80062709.0,0,5956697,0,0.0,5023647.0,0.0,0.0,A,A60,,A60,A,,BEST,AR,AR,AR,,,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,8412461,7413658.0,N,0.8889255319993801,0,0.0,0.0,8884192.0,7916055.0,0.0,0.0,0.0,0.0,0.0,200108,0,0,0,0.0,0.0,0.0,0.0,0.0,,20130.0,15eofinextract990.dat.dat,0,0.0,0.0,NY,20130,25,25.0,0.0,201312,201212.0,0.0,8412664,8412664,7413890.0,0.0,0.0,0.0,0.0,0.0,0.0,,10163
6780,112099939,10,401.0,0.0,0.0,PO BOX 660086,3.0,36293.0,28279,360811339001007.0,0.0,0.0,36081133900.0,FLUSHING,10,0.0,0.0,0,TREASURER,0.0,2.0,0,1.0,0,17911,16188.0,112099939_201410_990EZ,36081.0,2014,2013.0,0,20.0,28279,0.0,0.0,0.0,0.0,,0,0,0.0,12398,,,0.0,0.0,0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0,128,0.0,40.7273,0.0,0.0,O,O,AR,A,0.0,0,-73.7908,A,,0.0,0.0,5602.0,710000.0,JAMAICA ESTATES ASSOCIATION INC,112099939201410,1120999392014,36293.0,0,-5513,0,0.0,-1618.0,0.0,0.0,A,A23,,A23,A,,BEST,AR,AR,AR,1.0,-2501.0,1300,2600.0,0.0,0.0,IN,,0.0,0.0,5600.0,10970,11970.0,N,0.2273763807363767,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,199610,0,0,0,0.0,0.0,0.0,0.0,,,20140.0,15eofinextractEZ.dat,0,0.0,0.0,NY,20140,4,4.0,0.0,201410,201310.0,0.0,12398,12398,14570.0,0.0,0.0,0.0,0.0,0.0,0.0,11366-0086,11366
6815,112224061,6,566.0,0.0,0.0,31 WEST 34TH STREET,3.0,165881.0,103375,360610076001000.0,0.0,0.0,36061007600.0,NEW YORK,30,0.0,0.0,0,,0.0,2.0,0,1.0,0,153759,202454.0,112224061_201406_990EZ,36061.0,2014,2013.0,0,10.0,-1636062,0.0,0.0,0.0,0.0,,0,0,0.0,148326,,,0.0,0.0,0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0,1500,5287.0,40.7488,0.0,0.0,O,S,ZA,A,1796175.0,1739437,-73.9853,A,,0.0,0.0,5602.0,813219.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,112224061201406,1122240612014,-1630294.0,-45722,-21774,0,0.0,-13287.0,0.0,0.0,A,A114,,A1140,A,,BEST,AR,AR,AR,2.0,16006.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,176207,183880.0,N,0.059334446056409584,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,197111,62063,16341,-45722,0.0,0.0,0.0,0.0,,,20139.0,15eofinextractEZ.dat,0,0.0,0.0,NY,20139,5,5.0,0.0,201406,201306.0,0.0,131985,131985,189167.0,0.0,0.0,0.0,0.0,0.0,0.0,10001-3009,10001
6957,112511065,6,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,,369645,,,0.0,,BROOKLYN,10,0.0,,0,WILLIAM ROTHBERG,,2.0,0,1.0,0,172334,,112511065_201406_990EZ,36047.0,2014,,0,10.0,364111,0.0,,0.0,,,0,0,,124702,,,0.0,0.0,0,0,,,0.0,0.0,0,0,,0,2728,,40.6402,0.0,0.0,O,O,AR,A,,5534,-73.98,A,,,0.0,5602.0,712120.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,112511065201406,1125110652014,,0,-47632,0,0.0,,0.0,,A,A82,,A82,A,,BEST,AR,AR,AR,2.0,0.0,0,,0.0,,IN,,0.0,,5600.0,121974,,N,0.5356361576374756,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,197912,0,0,0,,0.0,,0.0,,,20139.0,15eofinextractEZ.dat,0,0.0,0.0,NY,20139,6,6.0,0.0,201406,,0.0,124702,124702,,0.0,0.0,0.0,0.0,0.0,0.0,11241-0000,11241
7145,112910678,12,907.0,0.0,0.0,11002 MERRICK BLVD,3.0,988060.0,944624,360810258001005.0,0.0,0.0,36081025800.0,JAMAICA,10,0.0,0.0,1120,,300.0,2.0,35188,1.0,0,197017,243266.0,112910678_201412_990O,36081.0,2014,2013.0,0,10.0,944624,0.0,0.0,9064.0,13813.0,0.0,83784,70250,77851.0,329498,0.0,0.0,,0.0,0,44252,1900651.0,0.0,0.0,121660.0,0,1,rtf13_990_VER,154034,1937,1831.0,40.6965,0.0,35188.0,O,O,AR,A,0.0,0,-73.7868,A,,0.0,0.0,5602.0,712120.0,PROCTOR HOPSON POST MEMORIAL ASSOCIATION INCORPORATED,112910678201412,1129106782014,988060.0,0,11543,0,9064.0,-40196.0,119694.0,106727.0,A,A80,,A80,A,N50,BEST,AR,AR,AR,1.0,,6495,2548.0,52919.0,52048.0,IN,,5329.0,5301.0,5600.0,0,0.0,N,0.243250603345614,9,1966.0,121660.0,0.0,0.0,0.0,1966.0,0.0,119694.0,0.0,201412,0,0,0,0.0,0.0,0.0,0.0,0.0,,20140.0,15eofinextract990.dat.dat,44252,0.0,0.0,NY,20140,5,5.0,14947.0,201412,201312.0,2895.0,208560,208560,203070.0,1918493.0,0.0,0.0,0.0,0.0,0.0,11433-3441,11433
7217,113057468,12,0.0,0.0,0.0,C/O SEARS 211 DEAN STREET,3.0,556486.0,569640,,0.0,0.0,,BROOKLYN,10,0.0,0.0,81601,SEARS,55525.0,2.0,26904,1.0,0,87445,42231.0,113057468_201412_990O,36047.0,2014,2013.0,0,10.0,569640,0.0,0.0,13128.0,35204.0,0.0,28591,4893,7497.0,156094,0.0,0.0,,0.0,40032,0,0.0,0.0,0.0,0.0,0,1,rtf13_990_VER,33484,977,873.0,40.686504,26904.0,0.0,O,O,AR,A,0.0,0,-73.987859,A,,0.0,0.0,5602.0,813920.0,BROOKLYN CHAPTER AMERICAN INSTITUTE OF ARCHITECTS,113057468201412,1130574682014,556486.0,0,13154,13128,0.0,56868.0,0.0,0.0,A,A03,,A03,A,,WORD,AR,AR,AR,1.0,,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,0,0.0,N,0.4227185934590109,9,0.0,0.0,569640.0,556486.0,0.0,0.0,0.0,0.0,0.0,200101,0,0,0,0.0,0.0,0.0,0.0,0.0,,20140.0,15eofinextract990.dat.dat,40032,0.0,0.0,NY,20140,6,6.0,4248.0,201412,201312.0,271417.0,100599,100599,99099.0,638485.0,0.0,0.0,362820.0,0.0,0.0,11217-0000,11217
7291,113212678,12,200.0,0.0,0.0,35-30 FARRINGTON ST STE 201,3.0,32943.0,8946,360810869001004.0,0.0,0.0,36081086900.0,FLUSHING,10,0.0,0.0,130220,,162386.0,2.0,0,1.0,0,154217,149923.0,113212678_201412_990O,36081.0,2014,2013.0,0,10.0,8946,0.0,0.0,0.0,0.0,0.0,0,0,0.0,130220,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,1,rtf13_990_VER,0,0,0.0,40.764,0.0,0.0,O,O,AR,A,0.0,0,-73.8317,A,,0.0,0.0,5602.0,710000.0,KOREAN AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,113212678201412,1132126782014,32943.0,0,-23997,0,0.0,12463.0,0.0,0.0,A,A23,,A23,A,,BEST,AR,AR,AR,1.0,,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,0,0.0,N,0.23095566956068256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199509,0,0,0,0.0,0.0,0.0,0.0,0.0,,20140.0,15eofinextract990.dat.dat,0,0.0,0.0,NY,20140,6,6.0,0.0,201412,201312.0,0.0,130220,130220,162386.0,0.0,0.0,0.0,0.0,0.0,0.0,11354-2827,11354
