,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_BOY,ASS_EOY,BLOCK,BOND_BOY,BOND_EOY,CENSUSTRACT,CITY,CLASSCD,COMPENS,COMPENSP,CONT,CONTACT,CONTP,DEDUCTCD,DIREXP,EOSTATUS,EPOSTCARD,EXPS,EXPSP,FILENAME,FIPS,FISYR,FISYRP,FNDNCD,FRCD,FUNDBAL,FUNDFEES,FUNDFEESP,FUNDINC,FUNDINCP,GFTGRNTSRCVD170,GOODS,GRPROF,GRPROFP,GRREC,GRRECMEM,GRRECOTH,GRRECPUB,GRSINC170,GRSINCFNDRSNG,GRSINCGAMING,GRSRCPTSADMISSN509,GRSRCPTSRELATED170,GRSRNTSPRSNL,GRSRNTSREAL,INITFEES,INPRIOR,INPRIORSRC,INVENTG,INVINC,INVINCP,LATITUDE,LESSDIRFNDRSNG,LESSDIRGAMING,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LIAB_BOY,LIAB_EOY,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MRTG_BOY,MRTG_EOY,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NETA_BOY,NETGNLS,NETINC,NETINCFNDRSNG,NETINCGAMING,NETINCP,NETRENT,NETRENTP,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OTHCHGS,OTHINC,OTHINCP,OTHSAL,OTHSALP,OUTNCCS,OUTREAS,PAYTAX,PAYTAXP,PMSA,PROGREV,PROGREVP,Q78A,RANDNUM,REASON,RENTEXP,RENTINC,RETEARN,RETE_BOY,RNTLEXPNSPRSNL,RNTLEXPNSREAL,RNTLINCPRSNL,RNTLINCREAL,ROYALTSINC,RULEDATE,SALEOTHE,SALEOTHG,SALEOTHN,SALEOTHNP,SALESECN,SALESECNP,SALESEXP,SECUR,SEC_NAME,SOIYR,SOURCE,SPEVTG,SRVCSVAL170,SRVCSVAL509,STATE,STYEAR,SUBCD,SUBSECCD,SUBTOTSUPPINC509,TAXPER,TAXPERP,TOTGFTGRNTRCVD509,TOTREV,TOTREV2,TOTREVP,TOTSUPP509,TXEXMPTBNDSPROCEEDS,TXREVNUELEVIED170,TXREVNUELEVIED509,UNSECUREDNOTESEND,VALIDATION_STATE,ZIP,ZIP5
148,10263908,12,46.0,119.0,30.0,136 WEST 22ND STREET,3.0,19403462.0,18839129.0,360610052001004.0,0.0,0.0,36061005000.0,NEW YORK,20.0,276744.0,247589.0,1371172.0,,1620853.0,1.0,279999,1.0,0,2278306.0,2100881.0,010263908_201512_990O,36061.0,2015,2014.0,11.0,10.0,18765650.0,0.0,0.0,-208599.0,-148146.0,5658469.0,3425,39449,70378.0,3515868,0.0,0.0,,2561911.0,71400.0,0,0.0,2803300.0,0.0,0.0,0,1,15eofinextract990.dat.dat,42874,552426.0,566724.0,40.7365,279999.0,0.0,PC,O,AR,A,52111.0,73479.0,-73.98899999999999,A,,0.0,0.0,5602.0,611610.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,10263908201512,102639082015,19351351.0,241223.0,224893,-208599.0,0.0,1521036.0,0.0,0.0,A,A25,,A25,A,A250,NEW,AR,AR,AR,1.0,,7841.0,6434.0,642437.0,595430.0,IN,,86073.0,80641.0,5600.0,499687.0,471755.0,N,0.2782876518314198,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194707.0,0.0,0.0,0.0,0.0,241223.0,1033919.0,729245.0,970468.0,,20150.0,16eofinextract990.dat,71400.0,0.0,0.0,NY,20150.0,3,3,0.0,201512,201412.0,0.0,2503199.0,2503199.0,3621917.0,0.0,0.0,0.0,0.0,0.0,0.0,10011-2424,10011.0
482,10391592,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150-597,3.0,2219.0,9452.0,360470059002031.0,0.0,0.0,36047005900.0,BROOKLYN,10.0,0.0,0.0,14945.0,,2721.0,1.0,0,1.0,0,54934.0,49009.0,010391592_201512_990EZ,36047.0,2015,2014.0,16.0,10.0,9452.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,62387,,,0.0,0.0,0.0,0,248593.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,0.0,40.6765,0.0,0.0,PC,O,AR,A,0.0,0.0,-74.0033,A,,0.0,0.0,5602.0,711130.0,MAINE JAZZ CAMP,10391592201512,103915922015,2219.0,220.0,7233,0.0,0.0,1329.0,0.0,0.0,A,A68,,A68,A,B99Z,NEW,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,47002.0,47117.0,N,0.2470195726313084,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,198809.0,0.0,220.0,220.0,500.0,0.0,0.0,0.0,,,20150.0,16eofinextractez.dat,0.0,0.0,0.0,NY,20150.0,3,3,0.0,201512,201412.0,31226.0,62167.0,62167.0,50338.0,280039.0,0.0,0.0,0.0,0.0,0.0,11215-0597,11231.0
1354,10621206,6,0.0,0.0,0.0,46 RIVERSIDE DR APT 2N,3.0,947.0,848.0,360610163001006.0,0.0,0.0,36061016300.0,NEW YORK,20.0,0.0,0.0,4402.0,STEPHANIE CHASE,9776.0,1.0,0,1.0,0,10097.0,10986.0,010621206_201506_990EZ,36061.0,2015,2014.0,15.0,20.0,-9120.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10980,,,0.0,0.0,0.0,0,21147.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,0.0,40.7836,0.0,0.0,PC,O,AR,A,10950.0,9968.0,-73.984,A,,0.0,0.0,5602.0,711130.0,MUSIC OF THE SPHERES SOCIETY INC,10621206201506,106212062015,-10003.0,0.0,883,0.0,0.0,550.0,0.0,0.0,A,A68,,A68,A,A68,BEST,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,6578.0,1760.0,N,0.7795617590769924,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20149.0,16eofinextractez.dat,0.0,0.0,0.0,NY,20149.0,3,3,0.0,201506,201406.0,39375.0,10980.0,10980.0,11536.0,60522.0,0.0,0.0,0.0,0.0,0.0,10024-6893,10024.0
1400,10632725,12,0.0,0.0,0.0,528 HANCOCK ST STE 3 FL,3.0,14082.0,33360.0,360470295004001.0,0.0,0.0,36047029500.0,BROOKLYN,20.0,0.0,0.0,10500.0,DEAN MOSS,89745.0,1.0,0,1.0,0,38059.0,129368.0,010632725_201512_990EZ,36047.0,2015,2014.0,15.0,10.0,33360.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,57337,,,0.0,0.0,0.0,0,244905.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,0.0,40.6844,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.9345,A,,0.0,0.0,5602.0,711100.0,GAMETOPHYTE INC,10632725201512,106327252015,14082.0,0.0,19278,0.0,0.0,-13006.0,0.0,0.0,A,A60,,A60,A,A60,IRS,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,46837.0,26617.0,N,0.19538956052382994,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20150.0,16eofinextractez.dat,0.0,0.0,0.0,NY,20150.0,3,3,0.0,201512,201412.0,220548.0,57337.0,57337.0,116362.0,466385.0,0.0,0.0,0.0,0.0,0.0,11233-1019,11233.0
1521,10668318,12,0.0,0.0,0.0,229 W 97TH ST RM/STE 1B,3.0,27345.0,23913.0,360610183006000.0,0.0,0.0,36061018300.0,NEW YORK,20.0,25000.0,0.0,81200.0,VOORHEES,67148.0,1.0,0,1.0,0,226662.0,165902.0,010668318_201512_990O,36061.0,2015,2014.0,16.0,10.0,23913.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,223230,0.0,0.0,,0.0,0.0,0,578189.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,0.0,40.795239,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.970629,A,,0.0,0.0,5602.0,711130.0,INTERNATIONAL KEYBOARD INSTITUTE AND FESTIVAL,10668318201512,106683182015,27345.0,0.0,-3432,0.0,0.0,8333.0,0.0,0.0,A,A68,,A68,A,A68,IRS,AR,AR,AR,1.0,,0.0,0.0,0.0,0.0,IN,,3171.0,0.0,5600.0,142030.0,107087.0,N,0.588371290752293,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,200207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20150.0,16eofinextract990.dat,0.0,0.0,0.0,NY,20150.0,3,3,15.0,201512,201412.0,417929.0,223230.0,223230.0,174235.0,996133.0,0.0,0.0,0.0,0.0,0.0,10025-4115,10025.0
1537,10671893,12,0.0,0.0,0.0,134 MARINERS LN,3.0,2176.0,554.0,360850223002012.0,0.0,0.0,36085022300.0,STATEN ISLAND,20.0,0.0,0.0,0.0,,0.0,1.0,0,1.0,0,121144.0,111856.0,010671893_201512_990EZ,36085.0,2015,2014.0,15.0,10.0,-8768.0,0.0,0.0,0.0,0.0,258071.0,0,0,0.0,112145,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,0.0,40.635404,0.0,0.0,PC,O,AR,A,1945.0,9322.0,-74.152262,A,,0.0,0.0,5602.0,711100.0,ALEXANDRIA AND AKEAS PLAYHOUSE INC AAPI SERVICES,10671893201512,106718932015,231.0,0.0,-8999,0.0,0.0,-850.0,0.0,0.0,A,A61,,A61,A,A61,BEST,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,112145.0,111006.0,N,0.8309434507933153,7,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,AAPI SERVICES,20150.0,16eofinextractez.dat,0.0,0.0,0.0,NY,20150.0,3,3,0.0,201512,201412.0,0.0,112145.0,112145.0,111006.0,0.0,0.0,0.0,0.0,0.0,0.0,10303-2548,10303.0
1741,10728746,8,0.0,0.0,0.0,232 3RD ST STE E002,3.0,157582.0,187230.0,360470119001023.0,0.0,0.0,36047011900.0,BROOKLYN,10.0,42009.0,21460.0,106494.0,,136796.0,1.0,0,1.0,0,328865.0,209639.0,010728746_201508_990O,36047.0,2015,2014.0,15.0,10.0,129586.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,300869,0.0,0.0,,0.0,0.0,0,667778.0,0.0,0.0,0.0,0,1,15eofinextract990.dat.dat,0,0.0,0.0,40.674973,0.0,0.0,PC,O,AR,A,0.0,57644.0,-73.98798000000001,A,,0.0,0.0,5602.0,710000.0,UGLY DUCKLING PRESSE LTD,10728746201508,107287462015,157582.0,0.0,-27996,0.0,0.0,49675.0,0.0,0.0,A,A20,,A20,A,A20,IRS,AR,AR,AR,1.0,,0.0,0.0,0.0,0.0,IN,,5350.0,6202.0,5600.0,194375.0,122518.0,N,0.5754894757056596,9,0.0,0.0,45101.0,73097.0,0.0,0.0,0.0,0.0,0.0,200404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20149.0,16eofinextract990.dat,0.0,0.0,0.0,NY,20149.0,3,3,11.0,201508,201408.0,434292.0,300869.0,300869.0,259314.0,1118191.0,0.0,0.0,0.0,0.0,0.0,11215-2733,11215.0
1994,10798319,6,0.0,0.0,0.0,151 WEST 46TH STREET 8TH FLOOR,3.0,43851.0,59902.0,360610125001007.0,0.0,0.0,36061012500.0,NEW YORK,20.0,0.0,0.0,182434.0,GLATZER,148463.0,1.0,0,1.0,0,436289.0,238937.0,010798319_201606_990O,36061.0,2016,2015.0,16.0,10.0,49996.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,444974,0.0,0.0,,0.0,0.0,0,413199.0,0.0,0.0,0.0,0,1,15eofinextract990.dat.dat,0,0.0,0.0,40.758066,0.0,0.0,PC,O,AR,A,2540.0,9906.0,-73.983312,A,,0.0,0.0,5602.0,711110.0,THE TANK LTD,10798319201606,107983192016,41311.0,0.0,8685,0.0,0.0,23626.0,0.0,0.0,A,A65,,A65,A,A65,IRS,AR,AR,AR,1.0,,0.0,0.0,69843.0,62260.0,IN,,7639.0,6412.0,5600.0,262540.0,114100.0,N,0.02115120735545684,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20159.0,16eofinextract990.dat,0.0,0.0,0.0,NY,20159.0,3,3,0.0,201606,201506.0,491864.0,444974.0,444974.0,262563.0,905063.0,0.0,0.0,0.0,0.0,0.0,10036-8512,10036.0
2138,10848423,3,0.0,0.0,0.0,1992 CONEY ISLAND AVE,3.0,127997.0,121765.0,360470420002000.0,0.0,0.0,36047042000.0,BROOKLYN,12.0,0.0,0.0,1970.0,NICK VELLIOS,752.0,1.0,0,1.0,0,32034.0,53531.0,010848423_201603_990EZ,36047.0,2016,2015.0,15.0,20.0,121765.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,25802,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0.0,138.0,40.6087,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.9623,A,,0.0,0.0,5602.0,710000.0,DIPLATANOS SOCIETY AGIA MARINA INC,10848423201603,108484232016,127997.0,0.0,-6232,0.0,0.0,-41196.0,0.0,0.0,A,A23,,A23,A,A23,IRS,AR,AR,AR,1.0,0.0,20587.0,20275.0,0.0,0.0,IN,,0.0,0.0,5600.0,3245.0,5305.0,N,0.5540393128973388,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20159.0,16eofinextractez.dat,0.0,0.0,0.0,NY,20159.0,3,3,39000.0,201603,201503.0,89323.0,25802.0,25802.0,12335.0,128323.0,0.0,0.0,0.0,0.0,0.0,11223-2329,11223.0
2157,10856384,7,0.0,0.0,0.0,575 8TH AVE RM 1812,3.0,1825965.0,1694495.0,360610049001004.0,0.0,0.0,36061004900.0,NEW YORK,21.0,263364.0,140000.0,692019.0,MONICA YUNUS,423311.0,1.0,129645,1.0,0,982783.0,837533.0,010856384_201507_990O,36061.0,2015,2014.0,15.0,10.0,1635512.0,12489.0,0.0,240185.0,63629.0,0.0,0,0,0.0,1061849,0.0,0.0,,0.0,369830.0,0,987475.0,0.0,0.0,0.0,0,1,15eofinextract990.dat.dat,0,0.0,0.0,40.7236,129645.0,0.0,PC,O,AR,A,139874.0,58983.0,-73.9984,A,,0.0,0.0,5602.0,711130.0,SING FOR HOPE INC,10856384201507,108563842015,1686091.0,0.0,-50579,240185.0,0.0,-350593.0,0.0,0.0,A,A68,,A68,A,A68,IRS,AR,AR,AR,1.0,,0.0,0.0,253591.0,284963.0,IN,,28569.0,42402.0,5600.0,0.0,0.0,N,0.6393529461992379,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20149.0,16eofinextract990.dat,369830.0,0.0,0.0,NY,20149.0,3,3,2110.0,201507,201407.0,5160924.0,932204.0,932204.0,486940.0,6150866.0,0.0,0.0,0.0,0.0,0.0,10018-3501,10018.0
