,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_CODE,BLOCK,CENSUSTRACT,CITY,CLASSCD,CONTACT,DEDUCTCD,EOSTATUS,FIPS,FISYR,FNDNCD,FRCD,INC_CODE,LATITUDE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OUTNCCS,OUTREAS,P10MIR,P10TASST,P11DISTR,P13UNDST,P14A4942,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14B4942,P14C4942,P14D4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14T4942,P14TASVL,P14TENDW,P14TGINV,P14TNADJ,P14TPSUP,P14TQDIS,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P1ADMEXP,P1CHAEXP,P1CONTPD,P1DIVID,P1EXCREV,P1GINVPF,P1GOODS,P1GRENTS,P1INTREV,P1INVEXP,P1INVRV,P1NADINC,P1NADJRV,P1NETINV,P1NGASTS,P1OFCOMP,P1OTHINC,P1TADJEX,P1TCONT,P1TEXMEX,P1TINVEX,P1TOTEXP,P1TOTREV,P2CASHBV,P2CRPBND,P2CRPSTK,P2EYASST,P2EYOTIN,P2GVTINV,P2MORTG,P2MTGNTS,P2TASFMV,P2TINVSC,P2TLIABL,P2TOTAST,P3EYTFND,P6DOMORG,P6ESTTX,P6EXMPF,P6TEXCTX,P6TX4940,P6TX511,P6TXCRDT,P6TXINV,P6TXPNLT,P6TXRFD,P6TXSUBA,P6TXWERR,P6TXWTH,P7BUSINT,P7DISBOR,P7DISPAY,P7DISSAL,P7DISSER,P7DISTRA,P7ELECT,P7INDGRT,P7JEOINV,P7LIQUID,P7ORGGRT,P7OTHPUR,P7PAYGVT,P7POFCLM,P7POLIT,P7PROPAG,P7UNDINC,PMSA,RANDNUM,RECCODE,RULEDATE,SEC_NAME,SOURCE,STATE,STYEAR,SUBSECCD,TAXPER,TFLD,VALIDATION_STATE,ZIP,ZIP5
489,112584720,12,602.0,0.0,0.0,360 W 31ST ST RM 1000,3.0,3.0,360610103001011.0,36061010300.0,NEW YORK,10.0,JORDAN H RED,1.0,1,36061.0,2015,4.0,1.0,1.0,40.750957,PF,S,AR,A,-73.996196,A,,5602.0,511100.0,BOOKS FOR ISRAEL INC,112584720201512,1125847202015,A,A33,,A33,A,,BEST,AR,AR,AR,1.0,IN,,2563.0,52037.0,2561.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5157,5053.0,6000,282,-10875,0,0.0,0,0,95.0,282.0,0.0,0.0,187.0,0,0.0,0,0.0,0,11053.0,95.0,11157,282,42612.0,0,637,47919.0,0.0,0,0.0,0.0,47919,637,1.0,43249,43249.0,Y,0,N,2,2.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.07228071659649471,N,198112.0,,16eofinextract990pf.dat,NY,2015,3,201512,2,0.0,10001-2871,10001.0
535,112725936,12,121.0,0.0,0.0,95-14 32ND AVE E ELMHURST STE 1,3.0,3.0,360810353002004.0,36081035300.0,NEW YORK,10.0,PATRICIA MIS,1.0,1,36081.0,2015,3.0,1.0,3.0,40.758634,PF,O,AR,A,-73.87334,A,,5602.0,511100.0,TEACHERS MAGAZINE INC,112725936201512,1127259362015,A,A33,,A33,A,B03,BEST,AR,AR,AR,1.0,IN,,0.0,0.0,0.0,0.0,23200,23200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21812,0,0,0,0,0,0,0,45012,0,0,0,23200,23200,0,0,21812,0,45012,0,0,0,0,0,23202,23202.0,21810,0,0,0,0.0,0,0,23202.0,45012.0,0.0,45012.0,0.0,23200,0.0,0,45012.0,21810,0.0,45012.0,45012,45012,2500.0,0,0,23200.0,0.0,0,0.0,0.0,23200,0,45012.0,45012,0.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.3405376234201209,Y,201408.0,,16eofinextract990pf.dat,NY,2015,3,201512,0,0.0,10016-0000,11369.0
544,112764785,12,602.0,0.0,0.0,14 PENN PLZ STE 1800,3.0,3.0,360610101001004.0,36061010100.0,NEW YORK,10.0,JACK TOPAL,1.0,1,36061.0,2015,4.0,1.0,1.0,40.7492,PF,S,AR,A,-73.9921,A,,5602.0,710000.0,ARLENE TOPAL CREATIVE ARTS FIND INC,112764785201512,1127647852015,A,A99,,A99,A,A90,WORD,AR,AR,AR,1.0,IN,,2494.0,50640.0,2494.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12400,0,10371,0,0.0,0,21,0.0,21.0,0.0,0.0,21.0,0,0.0,0,0.0,22750,12400.0,0.0,12400,22771,20174.0,0,0,51178.0,0.0,0,0.0,0.0,51178,0,1.0,51178,51178.0,Y,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.6054408998638772,N,201211.0,,16eofinextract990pf.dat,NY,2015,3,201512,0,0.0,10122-1800,10122.0
556,112801382,6,124.0,209.0,0.0,54 BOERUM ST APT 11N,3.0,1.0,360470511001000.0,36047051100.0,BKLYN NY,10.0,NATHAN CHUKU,1.0,1,36047.0,2015,4.0,1.0,1.0,40.7055,PF,S,AR,A,-73.9479,A,,5602.0,710000.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,112801382201506,1128013822015,A,A70,,A70,A,,ACT1,AR,AR,AR,1.0,IN,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,500.0,0.0,0,0.0,0.0,500,0,0.0,500,500.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.23176399051763896,N,198702.0,,16eofinextract990pf.dat,NY,2014,3,201506,0,0.0,11206-0000,11206.0
584,112864409,2,602.0,0.0,0.0,445 E 80TH ST APT 4A,3.0,1.0,360610136003001.0,36061013600.0,NEW YORK,10.0,,1.0,1,36061.0,2016,4.0,1.0,0.0,40.7727,PF,S,ZB,A,-73.9513,A,,5602.0,813219.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,112864409201602,1128644092016,A,A122,,A1220,A,,BEST,AR,AR,AR,1.0,IN,,139.0,2830.0,139.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,300,0,-364,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,64.0,0,364.0,64.0,364,0,0.0,0,0,2830.0,0.0,0,0.0,0.0,2830,0,0.0,2830,2830.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.6171120988577306,N,198709.0,,16eofinextract990pf.dat,NY,2015,3,201602,0,0.0,10075-0603,10075.0
609,112948645,6,602.0,0.0,0.0,14107 20TH AVE STE 602,3.0,4.0,360811039002008.0,36081103900.0,WHITESTONE,10.0,,1.0,1,36081.0,2016,4.0,1.0,1.0,40.780797,PF,S,AR,A,-73.817045,A,,5602.0,511100.0,WORLD JOURNAL CULTURE FOUNDATION INC,112948645201606,1129486452016,A,A33,,A33,A,,BEST,AR,AR,AR,1.0,IN,,10554.0,214290.0,10547.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50.0,1500,0,-1190,0,0.0,0,360,0.0,360.0,0.0,0.0,360.0,0,0.0,0,0.0,0,1550.0,0.0,1550,360,10914.0,0,0,213750.0,0.0,0,0.0,0.0,213750,0,1.0,213750,213750.0,N,535,N,7,7.0,0.0,528.0,0,0,528,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.5468051448439114,N,198909.0,,16eofinextract990pf.dat,NY,2015,3,201606,-528,0.0,11357-3097,11357.0
695,113137086,12,560.0,0.0,0.0,8709 CLIO ST,3.0,1.0,,36081047800.0,HOLLIS,10.0,BARBARA WOHL,1.0,1,36081.0,2015,4.0,1.0,2.0,40.7193,PF,S,AR,A,-73.7691,A,,5602.0,710000.0,J Z L FOUNDATION,113137086201512,1131370862015,A,A99,,A99,A,A99Z,IRS,AR,AR,AR,2.0,IN,,144.0,2930.0,144.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13286,0,-3277,0,0.0,0,9,0.0,9.0,9.0,9.0,9.0,0,0.0,0,0.0,10000,13286.0,0.0,13286,10009,1291.0,0,0,1291.0,0.0,0,0.0,0.0,1291,0,1.0,1291,1291.0,Y,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.3203805001204474,N,199508.0,,16eofinextract990pf.dat,NY,2015,3,201512,0,0.0,11423-1229,11423.0
758,113227149,6,91.0,149.0,59.0,195 COLUMBIA ST,3.0,0.0,360470051001002.0,36047005100.0,BROOKLYN,30.0,,1.0,1,36047.0,2016,3.0,1.0,4.0,40.6854,PF,O,AR,A,-74.0024,A,,5602.0,710000.0,CLAYWORKS ON COLUMBIA INC,113227149201606,1132271492016,A,A40,,A40,A,A47P,IRS,AR,AR,AR,1.0,IN,,5068.0,102900.0,0.0,0.0,165833,99602,83661,72981,65632,102459,105240,79443,0,0,0,0,0,0,0,0,15942,10679,7349,2555,0,0,0,0,165833,102459,105240,79443,452975,321876,0,0,36525,0,452975,0,0,0,0,0,164957,164957.0,875,0,15941,0,0.0,0,0,0.0,0.0,15941.0,181774.0,0.0,0,22500.0,181774,165832.0,0,165832.0,0.0,165832,181774,99602.0,0,0,99602.0,0.0,0,0.0,0.0,99602,0,0.0,99602,99602.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.8974847434090659,Y,199612.0,,16eofinextract990pf.dat,NY,2015,3,201606,0,0.0,11231-1402,11231.0
827,113309848,12,994.0,64.0,0.0,131 W 35TH ST FL 8,3.0,5.0,360610109001007.0,36061010900.0,NEW YORK,10.0,ELIZABETH J,1.0,1,36061.0,2015,4.0,1.0,1.0,40.751,PF,S,AR,A,-73.9882,A,,5602.0,710000.0,PAUL ROBESON FOUNDATION INC,113309848201512,1133098482015,A,A70,,A70,A,A700,NEW,AR,AR,AR,1.0,IN,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7213,0.0,0,0,-7213,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,7213,1,336.0,0,0,572880.0,22785.0,0,0.0,0.0,572880,0,367375.0,572880,205505.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.7412580895726613,N,199610.0,,16eofinextract990pf.dat,NY,2015,3,201512,0,0.0,10001-7604,10001.0
843,113343213,9,0.0,0.0,0.0,201 EASTERN PARKWAY,3.0,1.0,360470213001002.0,36047021300.0,BROOKLYN,10.0,ROY & SHERRY,1.0,1,36047.0,2015,3.0,1.0,1.0,40.6715,PF,O,AR,A,-73.9626,A,,5602.0,611610.0,ROY AND SHERRY DECARAVA FOUNDATION,113343213201509,1133432132015,A,A25,,A25,A,A25,IRS,AR,AR,AR,2.0,IN,,45.0,909.0,0.0,0.0,2979,2979,4927,2793,9254,4927,2793,9254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2647,610,0,19953,19953,0,0,1,0,3257,0,0,0,0,0,3061,0.0,0,0,-1948,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1113,0.0,0.0,3061,1113,704.0,0,0,3879.0,0.0,0,0.0,0.0,3879,0,1.0,2979,2979.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.5690508719075862,Y,199904.0,,16eofinextract990pf.dat,NY,2014,3,201509,0,0.0,11238-6141,11238.0
