,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal,SUBDISCIPLINE,LAT,LONG
0,0,3704,347 FIFTH AVE,NEW YORK,0,0,42565109,241168,36061.0,347 FIFTH AVE NEW YORK NY 10016-5010,O,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,215854.0,234275,NY,347 FIFTH AVE,10016-5010,10016.0,A23,Cultural & Ethnic Awareness,42.7976632,-73.9527343
1,1,7876,PO BOX 5005,NEW YORK,0,0,61597372,1990193,36061.0,,O,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,8176491.0,8222871,NY,,10163-5005,10163.0,A60,Performing Arts,,
2,2,8594,LOCAL,BROOKLYN,129148,0,111195683,649611,36047.0,LOCAL BROOKLYN NY 11222-0000,O,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,70273.0,344365,NY,LOCAL,11222-0000,11222.0,A23,Cultural & Ethnic Awareness,40.6501038,-73.9495823
3,3,8779,730 BROADWAY,NEW YORK,0,0,111854964,697544,36061.0,730 BROADWAY NEW YORK NY 10003-9502,O,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1071554.0,1267034,NY,730 BROADWAY,10003-9502,10003.0,A40,Visual Arts,40.7293353,-73.9931312
4,4,8882,2366 CONEY ISLAND AVE,BROOKLYN,2860,0,112022650,150310,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,O,AUTO BODY CRAFTSMENS GUILD INC,A40,137530.0,137714,NY,2366 CONEY ISLAND AVE,11223-5002,11223.0,A40,Visual Arts,40.59926955,-73.9616213785476
5,5,9150,1110 BRONX RIVER AVE,BRONX,0,0,112579110,48412,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,O,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,56167.0,56167,NY,1110 BRONX RIVER AVE,10472-3102,10472.0,A65,Theater,40.8258070352425,-73.8832604041932
6,6,9301,4602 30TH AVE,ASTORIA,0,0,112803536,30535,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,O,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,34892,NY,4602 30TH AVE,11103-1264,11103.0,A23,Cultural & Ethnic Awareness,40.7619845,-73.9109117
7,7,9452,7254 65TH PL,GLENDALE,0,0,113097379,118706,36081.0,7254 65TH PL GLENDALE NY 11385-6930,O,SERBIAN ASSOCIATION OF NEW YORK INC,A23,98965.0,98965,NY,7254 65TH PL,11385-6930,11385.0,A23,Cultural & Ethnic Awareness,40.6996382,-73.8886334
8,8,9464,1546 E 31ST ST,BROOKLYN,22931,48854,113110485,45454,36047.0,1546 E 31ST ST BROOKLYN NY 11234-3402,O,ROCKAWAY PENINSULA CIVIC ASSOC INC,A40,0.0,48854,NY,1546 E 31ST ST,11234-3402,11234.0,A40,Visual Arts,40.6146534,-73.9433150465016
9,9,9501,PO BOX 2222,NEW YORK,0,6660,113163244,2973,36061.0,,O,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,A23,700.0,19534,NY,,10008-2222,10008.0,A23,Cultural & Ethnic Awareness,,
10,10,9530,35-30 FARRINGTON ST 2FL,FLUSHING,0,166200,113212678,138535,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,O,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,A23,0.0,166200,NY,35-30 FARRINGTON ST,11354-2827,11354.0,A23,Cultural & Ethnic Awareness,,
11,11,9532,1324 FLATBUSH AVE,BROOKLYN,0,0,113216404,177668,36047.0,1324 FLATBUSH AVE BROOKLYN NY 11210-1233,O,CARIBBEAN CUP INC,A23,156129.0,156129,NY,1324 FLATBUSH AVE,11210-1233,11210.0,A23,Cultural & Ethnic Awareness,40.6378826,-73.95337625
12,12,9545,8101 FURMANVILLE AVE,MIDDLE VLG,0,12110,113238845,26254,36081.0,8101 FURMANVILLE AVE MIDDLE VLG NY 11379-2315,O,A I A QUEENS INC,A40,13855.0,30678,NY,8101 FURMANVILLE AVE,11379-2315,11379.0,A40,Visual Arts,,
13,13,9557,4503 37TH ST,LONG IS CITY,0,0,113261970,66642,36081.0,4503 37TH ST LONG IS CITY NY 11101-1801,O,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,A23,74675.0,74675,NY,4503 37TH ST,11101-1801,11101.0,A23,Cultural & Ethnic Awareness,,
14,14,9566,150 BEEKMAN ST FL 3,NEW YORK,0,33922,113278319,36308,36061.0,150 BEEKMAN ST NEW YORK NY 10038-2015,O,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,33922,NY,150 BEEKMAN ST,10038-2015,10038.0,A23,Cultural & Ethnic Awareness,40.70698705,-74.002390464714
15,15,9625,200 MADISON AVENUE,NEW YORK,50000,0,113395787,73982,36061.0,200 MADISON AVENUE NEW YORK NY 10016-3903,O,MEDICAL ADVERTISING HALL OF FAME INC,A50,66000.0,86043,NY,200 MADISON AVENUE,10016-3903,10016.0,A50,Museums,40.7488852,-73.9827039003413
16,16,9669,2227 33RD ST,ASTORIA,0,29080,113477797,71450,36081.0,2227 33RD ST ASTORIA NY 11105-2402,O,SYLLOGOS KRETON MINOS INC,A23,5550.0,40060,NY,2227 33RD ST,11105-2402,11105.0,A23,Cultural & Ethnic Awareness,40.7698433,-73.916771
17,17,9980,125 BARCLAY ST,NEW YORK CITY,0,0,116042353,93703,36061.0,125 BARCLAY ST NEW YORK CITY NY 10007-2233,O,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,102597.0,102701,NY,125 BARCLAY ST,10007-2233,10007.0,A50,Museums,40.7143477,-74.0130151
18,18,10020,10916 JAMAICA AVE,RICHMOND HILL,60621,0,116102176,247571,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,O,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,187888.0,187888,NY,10916 JAMAICA AVE,11418-2334,11418.0,A23,Cultural & Ethnic Awareness,40.6996924,-73.8321223
19,19,10089,432 PARK AVE S FL 6,NEW YORK,2010204,0,130417765,5206220,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,O,ADVERTISING RESEARCH FOUNDATION INC,A03,5492583.0,5651131,NY,432 PARK AVE S,10016-8013,10016.0,A03,Professional Societies & Associations,40.7442156,-73.9836536
20,20,10119,50 E 42ND ST RM 506,NEW YORK,0,0,130453215,159763,36061.0,50 E 42ND ST NEW YORK NY 10017-5436,O,PAINTING & DECORATING CONTRACTORS OF AMERICA,A40,102363.0,267903,NY,50 E 42ND ST,10017-5436,10017.0,A40,Visual Arts,40.7525361,-73.9790574
21,21,10179,31 W 15TH ST,NEW YORK,1500,0,130876693,19567,36061.0,31 W 15TH ST NEW YORK NY 10011-6849,O,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,2883.0,5000,NY,31 W 15TH ST,10011-6849,10011.0,A23,Cultural & Ethnic Awareness,40.7431323,-74.0084454
